driver_id,kvs_filename,kvs_tag,kvs_sha256,kvs_authenti_sha256,tbs_sha256
99668140-a8f6-48f8-86d1-cf3bf693600c,protects.sys,protects.sys,4a9093e8dbcb867e1b97a0a67ce99a8511900658f5201c34ffb8035881f2dbbe,-,01be120134997087d356bd5d50fa89eed3447aeff1b66d7327373693e4879d42
57354c82-ff9c-4a54-8377-d195e4ff0a26,mhyprot2.sys,mhyprot.sys,46cf46e1073b7c99142964b7c4bef1e5285fabcf2c6dbe5be99000a393d9f474,dbcad271feda00f614ef9866886cde83e9fffac6e76694fd052790541bb7e993,d8be9e4d9074088ef818bc6f6fb64955e90378b2754155126feebbbd969cf0ae
043773c5-120a-4c6b-8485-8f1f5c47fd3e,aswarpot.sys,avgarpot.sys,2732050a7d836ae0bdc5c0aea4cdf8ce205618c3e7f613b8139c176e86476d0c,62b89fab85cf77b1e6730d2b55b4f9458f368f89d3ca5672d450e3c3365d8c37,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
0baa833c-e4e1-449e-86ee-cafeb11f5fd5,,vboxguest.sys,983310cdce8397c016bfcfcc9c3a8abbb5c928b235bc3c3ae3a3cc10ef24dfbd,c3fa8f5c8094a6c6936faff1d1faa02fd489482f21c288e6c700446ade5c20be,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
5ad8a3b6-6d20-4c95-8fa7-9a507167ba3c,,netfilter2.sys,18b923b169b2c3c7db5cbfda0db0999f04adb2cf6c917e5b1fb2ff04714ecac1,dfaefd06b680f9ea837e7815fc1cc7d1f4cc375641ac850667ab20739f46ad22,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
87752fb8-e9f6-4235-91e2-c4343677d817,,mimidrv.sys,773b4a1efb9932dd5116c93d06681990759343dfe13c0858d09245bc610d5894,c6f7acc48d15f334a757a416809eb596d291952cf730a281de4a4423e18dce76,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
34fa6ba4-dc7c-4fd6-b947-8a0bb8ebd031,amifldrv64.sys,amifldrv64.sys,c2fcc0fec64d5647813b84b9049d430406c4c6a7b9f8b725da21bcae2ff12247,96cb847fab0befab75a6f39080dd444d022d4bec73017c9d7187fe6282a0faa1,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
db666d40-c9fa-4039-bfac-a5d7afd61b67,,bedaisy.sys,eba14a2b4cefd74edaf38d963775352dc3618977e30261aab52be682a76b536f,9fb474b921371c4679582df8484932b832345693de94e3c4a158638b4d75a19c,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
34fa6ba4-dc7c-4fd6-b947-8a0bb8ebd031,amifldrv64.sys,amifldrv.sys,3cb75429944e60f6c820c7638adbf688883ad44951bca3f8912428afe72bc134,7e8e7bc080b4c32ce703b3e8b3cc7e13fa9ef2422dc6f370a2c2b82496564aae,8bb26b4dc7c105fd9cdd0604cedbf3647a700dc4ddadcad839d8e27312253e73
3aa6e630-59be-4a15-a30c-aaed4c1edaf0,,-,bae4372a9284db52dedc1c1100cefa758b3ec8d9d4f0e5588a8db34ded5edb1f,ac7cd788581d6f8098b5d438546eb3584c1b08dbe7fd3b1ddc2a7295bd4dd16f,40bddadac24dc61ca4fb5cab2a2bc5d876bc36808311039a7a3e1a4066f7489b
2651f5c4-d9e1-4b06-92be-e9e7313f87c4,asio.sys,asio3.sys,923ebbe8111e73d5b8ecc2db10f8ea2629a3264c3a535d01c3c118a3b4c91782,ed302ea33feb557b879f64c4b7835947a9ca31054573e1487f5bbc38449753ff,9dba2d4765226ca91fb7104e0cbd01308c4e8ed9727ea661eeaa473d7825ee35
